id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000131400.6	0.36	1.96	0.12	0.58	0.43	0.05	0.20	0.37	0.21	0.00	1.41
ENSG00000131408.12	33.79	43.28	36.75	14.67	20.55	93.34	46.89	70.40	49.09	85.84	64.16
ENSG00000131435.11	95.53	39.86	0.00	2.19	48.95	24.50	94.47	144.13	61.79	88.64	0.00
ENSG00000131437.14	4.27	2.50	5.55	3.19	7.52	3.22	5.92	2.28	1.55	0.28	1.24
ENSG00000131446.14	71.77	112.31	58.47	33.93	34.06	158.31	99.03	98.35	75.23	145.12	138.35
ENSG00000131459.11	0.23	0.15	9.94	6.29	49.18	7.37	3.83	34.71	39.41	5.15	0.82
ENSG00000131462.6	191.10	64.74	141.51	76.67	156.28	196.76	104.99	134.56	238.62	144.98	131.95
ENSG00000131467.9	128.12	76.59	124.39	56.82	177.95	108.30	128.51	128.41	189.48	156.80	115.55
ENSG00000131469.11	1523.38	1471.52	1154.99	920.71	1272.81	958.53	1444.48	1913.81	1804.95	2330.31	1239.26
ENSG00000131470.13	16.25	5.24	19.35	16.82	51.30	74.53	10.29	10.60	54.76	19.26	9.24
ENSG00000131471.5	0.45	0.00	0.00	0.36	1.03	0.96	0.00	1.09	0.44	0.52	3.04
ENSG00000131473.15	141.85	74.55	76.99	68.73	149.31	143.97	87.48	82.64	183.28	310.36	73.88
ENSG00000131475.5	95.58	55.41	48.73	33.94	71.40	48.28	70.88	109.84	114.17	132.67	47.85
ENSG00000131477.9	1.30	0.19	0.00	0.48	2.49	0.00	0.00	0.55	0.00	0.00	0.00
ENSG00000131480.7	1.53	0.39	0.33	1.25	1.75	1.57	0.03	3.15	0.91	0.24	10.13
ENSG00000131495.7	84.70	135.49	85.26	53.47	55.39	69.64	113.24	67.73	94.45	116.68	113.39
ENSG00000131503.19	22.83	25.86	32.61	70.30	47.16	35.01	33.76	17.61	39.31	17.55	30.72
ENSG00000131504.14	78.05	51.38	62.90	62.88	55.59	90.65	108.54	65.71	103.37	180.58	78.03
ENSG00000131507.10	10.50	18.97	18.29	29.64	21.05	8.50	21.05	12.72	14.08	1.67	10.01
ENSG00000131508.14	93.74	110.10	86.08	97.39	118.75	62.49	99.04	56.39	128.58	14.10	10.21
ENSG00000131558.13	17.84	21.31	8.98	58.49	34.33	19.10	25.32	10.58	7.00	54.00	36.76
ENSG00000131584.17	45.34	41.89	38.45	11.67	15.88	59.48	21.57	32.47	24.77	13.23	37.06
ENSG00000131591.16	19.53	17.78	17.67	2.52	2.62	22.09	12.93	10.41	13.84	11.54	13.77
ENSG00000131620.16	0.39	1.50	0.00	0.92	0.23	0.39	1.59	8.44	0.06	0.93	0.06
ENSG00000131626.14	24.30	22.70	32.63	46.57	33.46	29.18	27.65	32.58	34.12	15.68	42.59
ENSG00000131634.12	0.23	0.00	0.00	0.22	0.17	13.94	0.05	0.20	0.20	0.51	0.28
ENSG00000131650.12	4.53	1.33	5.97	1.34	0.19	1.09	1.00	0.40	0.96	3.67	7.14
ENSG00000131652.12	13.25	27.76	33.90	48.32	18.34	48.39	17.01	21.10	36.15	14.12	142.76
ENSG00000131653.11	65.69	105.38	40.54	46.93	70.15	93.54	90.45	91.22	46.04	89.45	178.08
ENSG00000131668.12	0.00	0.12	0.00	0.00	23.67	0.05	0.00	0.00	0.00	0.00	7.75
ENSG00000131669.8	103.84	102.45	18.34	43.64	62.19	14.78	48.85	75.15	24.62	48.18	34.42
ENSG00000131697.16	5.32	6.57	6.08	3.47	5.55	13.84	6.58	2.00	4.19	4.21	20.08
ENSG00000131711.13	0.29	0.00	0.00	0.33	0.00	76.94	0.81	5.47	2.23	5.12	68.80
ENSG00000131721.4	0.00	0.00	0.00	0.00	0.00	1.03	0.00	0.00	0.00	0.00	0.00
ENSG00000131724.9	12.13	8.41	33.13	5.46	20.56	6.67	11.64	12.39	19.95	2.29	0.74
ENSG00000131725.12	3.72	5.66	5.33	8.71	5.73	3.40	3.97	4.52	10.13	1.56	1.23
ENSG00000131732.10	10.52	7.66	18.44	11.16	15.74	6.95	12.87	12.70	11.79	6.22	7.13
ENSG00000131737.5	0.00	2.41	0.00	0.00	0.00	4.56	0.00	1.51	0.00	0.00	0.00
ENSG00000131746.11	370.84	330.08	0.13	0.10	0.23	0.09	471.72	302.27	0.88	461.85	0.00
ENSG00000131747.13	51.78	41.47	38.84	150.17	137.43	42.70	38.84	7.95	141.60	12.73	5.40
ENSG00000131748.14	33.48	33.28	32.25	25.35	47.40	54.77	44.02	64.13	48.74	42.30	74.40
